name,pid,storeid,门店编码,门店名称,SPU编码,SKU,门店商品名称,总部商品名称,mtpid,美团开放平台唯一标识,商品条码,外部编码,商品描述,渠道库存,实物库存
京选 【尺寸可选】粘毛器滚筒替换纸可撕式滚刷粘毛卷纸强力粘毛替换芯吸毛沾尘神器一卷,5000075387,,1148448,京东便利店（花都新华店）,1894642215478554701,1894642215477866576,京选 【尺寸可选】粘毛器滚筒替换纸可撕式滚刷粘毛卷纸强力粘毛替换芯吸毛沾尘神器一卷,京选 【尺寸可选】粘毛器滚筒替换纸可撕式滚刷粘毛卷纸强力粘毛替换芯吸毛沾尘神器一卷,5000075387,2000061932,,,,40,40
京选 【尺寸可选】粘毛器滚筒替换纸可撕式滚刷粘毛卷纸强力粘毛替换芯吸毛沾尘神器一卷,5000075388,,1148448,京东便利店（花都新华店）,1894642215478554701,1894642215482052674,京选 【尺寸可选】粘毛器滚筒替换纸可撕式滚刷粘毛卷纸强力粘毛替换芯吸毛沾尘神器一卷,京选 【尺寸可选】粘毛器滚筒替换纸可撕式滚刷粘毛卷纸强力粘毛替换芯吸毛沾尘神器一卷,5000075388,2000061932,,,,40,40
京选 【尺寸可选】粘毛器滚筒替换纸可撕式滚刷粘毛卷纸强力粘毛替换芯吸毛沾尘神器一卷,5000075389,,1148448,京东便利店（花都新华店）,1894642215478554701,1894642215478427716,京选 【尺寸可选】粘毛器滚筒替换纸可撕式滚刷粘毛卷纸强力粘毛替换芯吸毛沾尘神器一卷,京选 【尺寸可选】粘毛器滚筒替换纸可撕式滚刷粘毛卷纸强力粘毛替换芯吸毛沾尘神器一卷,5000075389,2000061932,,,,39,39
苏菲 超熟睡350柔棉感纤巧夜用卫生巾 4片/包,5000075382,,1148448,京东便利店（花都新华店）,1894645501166161929,1894645501165555805,苏菲 超熟睡350柔棉感纤巧夜用卫生巾 4片/包,苏菲 超熟睡350柔棉感纤巧夜用卫生巾 4片/包,5000075382,2000061928,6932660522612.0,,,0,0
嘉利是 蒜香咸脆花生185 g/袋,5000075381,,1148448,京东便利店（花都新华店）,1894643127793512482,1894643127793492008,嘉利是 蒜香咸脆花生185 g/袋,嘉利是 蒜香咸脆花生185 g/袋,5000075381,2000061927,6936768011085.0,,,10,10
XIXI温欲卷翘睫毛膏 1#酷黑色,5000071101,,1148448,京东便利店（花都新华店）,1894641629223927881,1894641629223919616,XIXI温欲卷翘睫毛膏 1#酷黑色,XIXI温欲卷翘睫毛膏 1#酷黑色,5000071101,2000058446,6974232253982.0,,,4,4
XIXI遮瑕液膏笔遮盖修饰面部瑕疵提亮泪沟水润遮瑕学生党国货彩妆3.8g 02#柔米肤,5000070940,,1148448,京东便利店（花都新华店）,1894641629231726612,1894641629223260256,XIXI遮瑕液膏笔遮盖修饰面部瑕疵提亮泪沟水润遮瑕学生党国货彩妆3.8g 02#柔米肤,XIXI遮瑕液膏笔遮盖修饰面部瑕疵提亮泪沟水润遮瑕学生党国货彩妆3.8g 02#柔米肤,5000070940,2000058313,6976873590259.0,,,4,4
XIXI气垫BB霜套盒遮瑕持久不易脱妆卡粉保湿隐毛孔粉底液粉霜春夏彩妆 01#象牙白两个装,5000070732,,1148448,京东便利店（花都新华店）,1895069532432007190,1895069532440322063,XIXI气垫BB霜套盒遮瑕持久不易脱妆卡粉保湿隐毛孔粉底液粉霜春夏彩妆 01#象牙白两个装,XIXI气垫BB霜套盒遮瑕持久不易脱妆卡粉保湿隐毛孔粉底液粉霜春夏彩妆 01#象牙白两个装,5000070732,2000058138,6970100677461.0,,,3,3
XIXI熊迪绒绒捣蛋九色眼影粉质细腻自然哑光细闪珠光初学者易上手学生 1#乌木麻豆,5000070611,,1148448,京东便利店（花都新华店）,1895069464241012738,1895069464261849176,XIXI熊迪绒绒捣蛋九色眼影粉质细腻自然哑光细闪珠光初学者易上手学生 1#乌木麻豆,XIXI熊迪绒绒捣蛋九色眼影粉质细腻自然哑光细闪珠光初学者易上手学生 1#乌木麻豆,5000070611,2000058004,6975425386586.0,,,3,3
XIXIGJ-78/GJ-79睫毛夹 GJ-78广角睫毛夹,5000074569,,1148448,京东便利店（花都新华店）,1894641615059103830,1894641615063240729,XIXIGJ-78/GJ-79睫毛夹 GJ-78广角睫毛夹,XIXIGJ-78/GJ-79睫毛夹 GJ-78广角睫毛夹,5000074569,2000061249,6970100679496.0,,,5,5
高档掼蛋扑克加大加长加厚比赛用牌棋牌室会所休闲游戏牌 高档掼蛋扑克（蓝色）背纹1副,5000070974,,1148448,京东便利店（花都新华店）,1894646037000503382,1894646037001220121,高档掼蛋扑克加大加长加厚比赛用牌棋牌室会所休闲游戏牌 高档掼蛋扑克（蓝色）背纹1副,高档掼蛋扑克加大加长加厚比赛用牌棋牌室会所休闲游戏牌 高档掼蛋扑克（蓝色）背纹1副,5000070974,2000058339,6904731302324.0,,,10,10
语霖 高档掼蛋扑克加大加长加厚比赛用牌棋牌室会所休闲游戏牌 高档掼蛋扑克（红色）背纹1副,5000070650,,1148448,京东便利店（花都新华店）,1894645682896449606,1894645682900557868,语霖 高档掼蛋扑克加大加长加厚比赛用牌棋牌室会所休闲游戏牌 高档掼蛋扑克（红色）背纹1副,语霖 高档掼蛋扑克加大加长加厚比赛用牌棋牌室会所休闲游戏牌 高档掼蛋扑克（红色）背纹1副,5000070650,2000058061,545464664646.0,,,20,20
芳草地  T3369  竹一次性卫生筷 双/袋,5000070825,,1148448,京东便利店（花都新华店）,1894645486510747691,1894645486515122244,芳草地  T3369  竹一次性卫生筷 双/袋,芳草地  T3369  竹一次性卫生筷 双/袋,5000070825,2000058214,6948673233698.0,,,0,0
百事可乐摩登罐高罐 330ml*6罐,5000071094,,1148448,京东便利店（花都新华店）,1894645022876520501,1894645022876598370,百事可乐摩登罐高罐 330ml*6罐,百事可乐摩登罐高罐 330ml*6罐,5000071094,2000058440,6915766005890.0,,,0,0
百事可乐330ml*24罐/组,5000074525,,1148448,京东便利店（花都新华店）,1894645006682308652,1894645006687203344,百事可乐330ml*24罐/组,百事可乐330ml*24罐/组,5000074525,2000061223,6906907235115.0,,,0,0
百事可乐Pepsi Cola 无糖生可乐 330ml*12罐/箱,5000070699,,1148448,京东便利店（花都新华店）,1894645006678106130,1894645006682386448,百事可乐Pepsi Cola 无糖生可乐 330ml*12罐/箱,百事可乐Pepsi Cola 无糖生可乐 330ml*12罐/箱,5000070699,2000058123,6906907159541.0,,,0,0
百事可乐 无糖生可乐 330ml*6罐/份,5000070727,,1148448,京东便利店（花都新华店）,1894645006682865700,1894645006682390545,百事可乐 无糖生可乐 330ml*6罐/份,百事可乐 无糖生可乐 330ml*6罐/份,5000070727,2000058139,6906907117220.0,,,0,0
百事可乐330ml*6罐/组,5000071189,,1148448,京东便利店（花都新华店）,1894645006690697266,1894645006695448639,百事可乐330ml*6罐/组,百事可乐330ml*6罐/组,5000071189,2000058508,6925788301719.0,,,12,12
百事可乐330ml*24瓶/箱,5000070847,,1148448,京东便利店（花都新华店）,1894645006686474271,1894645006691254361,百事可乐330ml*24瓶/箱,百事可乐330ml*24瓶/箱,5000070847,2000058227,6936571950106.0,,,3,3
百事可乐 500ml*24瓶/箱,5000074545,,1148448,京东便利店（花都新华店）,1894645006691274846,1894645006691397721,百事可乐 500ml*24瓶/箱,百事可乐 500ml*24瓶/箱,5000074545,2000061237,6933266600056.0,,,3,3
百事可乐百事可乐白柚青竹味500ML,5000070777,,1148448,京东便利店（花都新华店）,1894645022872563760,1894645022872313906,百事可乐百事可乐白柚青竹味500ML,百事可乐百事可乐白柚青竹味500ML,5000070777,2000058178,6917277100453.0,,,2,2
百事可乐无糖味碳酸饮料汽水500ml*12瓶饮品,5000070757,,1148448,京东便利店（花都新华店）,1894645022872326235,1894645022872895526,百事可乐无糖味碳酸饮料汽水500ml*12瓶饮品,百事可乐无糖味碳酸饮料汽水500ml*12瓶饮品,5000070757,2000058167,,,,1,1
十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台12英寸转台,5000074603,,1148448,京东便利店（花都新华店）,1894642906137161730,1894642906133639236,十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台12英寸转台,十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台12英寸转台,5000074603,2000061278,,,,4,4
十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台10英寸沐霞粉,5000070751,,1148448,京东便利店（花都新华店）,1894642906129440823,1894642906132893777,十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台10英寸沐霞粉,十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台10英寸沐霞粉,5000070751,2000058162,,,,1,1
十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台10英寸专业旗舰款,5000070958,,1148448,京东便利店（花都新华店）,1894642906137178163,1894642906141868106,十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台10英寸专业旗舰款,十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台10英寸专业旗舰款,5000070958,2000058325,,,,4,4
十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台10英寸椰奶白一个,5000074527,,1148448,京东便利店（花都新华店）,1894642906141970480,1894642906137169997,十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台10英寸椰奶白一个,十色生活 蛋糕转盘裱花转台烘焙工具铝合金托盘旋转抹面家用商用裱花转台10英寸椰奶白一个,5000074527,2000061225,,,,1,1
得力6906中性笔芯0.5MM弹簧头(红)一支,5000070812,,1148448,京东便利店（花都新华店）,1894643859792523324,1894643859788345381,得力6906中性笔芯0.5MM弹簧头(红)一支,得力6906中性笔芯0.5MM弹簧头(红)一支,5000070812,2000058203,6921734928047.0,,,18,18
XIXI【颜色可选】唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩学生一份 01#桃桃奶泡,5000071041,,1148448,京东便利店（花都新华店）,1894641615054909480,1894641615063375941,XIXI【颜色可选】唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩学生一份 01#桃桃奶泡,XIXI【颜色可选】唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩学生一份 01#桃桃奶泡,5000071041,2000058387,,,,3,3
XIXI【颜色可选】唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩一份 02#布朗咖橘,5000070696,,1148448,京东便利店（花都新华店）,1894641615054901276,1894641615054901262,XIXI【颜色可选】唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩一份 02#布朗咖橘,XIXI【颜色可选】唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩一份 02#布朗咖橘,5000070696,2000058115,,,,3,3
XIXI一字斜面粉底刷不易吃粉轻薄无痕底妆粉底液泥膜化妆刷化妆师专用1/支,5000067958,,1148448,京东便利店（花都新华店）,1894641615026044982,1894641615029813260,XIXI一字斜面粉底刷不易吃粉轻薄无痕底妆粉底液泥膜化妆刷化妆师专用1/支,XIXI一字斜面粉底刷不易吃粉轻薄无痕底妆粉底液泥膜化妆刷化妆师专用1/支,5000067958,2000055982,,,,1,1
XIXI粉欲又野四色眼影盘珠光哑光细闪粉蓝绿色氛围纯欲眼妆截断眼妆1盒,5000068032,,1148448,京东便利店（花都新华店）,1895069316765032496,1895069316756492293,XIXI粉欲又野四色眼影盘珠光哑光细闪粉蓝绿色氛围纯欲眼妆截断眼妆1盒,XIXI粉欲又野四色眼影盘珠光哑光细闪粉蓝绿色氛围纯欲眼妆截断眼妆1盒,5000068032,2000056036,,,,3,3
XIXI粉欲又野四色眼影盘珠光哑光细闪粉蓝绿色氛围纯欲眼妆截断眼妆1盒,5000068034,,1148448,京东便利店（花都新华店）,1895069316765032496,1895069316782297101,XIXI粉欲又野四色眼影盘珠光哑光细闪粉蓝绿色氛围纯欲眼妆截断眼妆1盒,XIXI粉欲又野四色眼影盘珠光哑光细闪粉蓝绿色氛围纯欲眼妆截断眼妆1盒,5000068034,2000056036,,,,3,3
XIXI粉欲又野四色眼影盘珠光哑光细闪粉蓝绿色氛围纯欲眼妆截断眼妆1盒,5000068036,,1148448,京东便利店（花都新华店）,1895069316765032496,1895069316777451537,XIXI粉欲又野四色眼影盘珠光哑光细闪粉蓝绿色氛围纯欲眼妆截断眼妆1盒,XIXI粉欲又野四色眼影盘珠光哑光细闪粉蓝绿色氛围纯欲眼妆截断眼妆1盒,5000068036,2000056036,,,,3,3
XIXI【颜色可选】粉欲又野炫酷玩色唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩学生一份,5000068189,,1148448,京东便利店（花都新华店）,1895069316639060033,1895069316664270865,XIXI【颜色可选】粉欲又野炫酷玩色唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩学生一份,XIXI【颜色可选】粉欲又野炫酷玩色唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩学生一份,5000068189,2000056154,6970100676334.0,,,0,0
XIXI【颜色可选】粉欲又野炫酷玩色唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩学生一份,5000068192,,1148448,京东便利店（花都新华店）,1895069316639060033,1895069316681109557,XIXI【颜色可选】粉欲又野炫酷玩色唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩学生一份,XIXI【颜色可选】粉欲又野炫酷玩色唇釉雾面哑光柔雾持久显色防水不易沾杯唇彩学生一份,5000068192,2000056154,6970100676334.0,,,0,0
XIXI轻柔定妆散粉刷蜜粉刷腮红刷修容刷化妆刷定妆刷便携单支粉饼刷 粉色,5000071063,,1148448,京东便利店（花都新华店）,1894641629223764043,1894641629223907366,XIXI轻柔定妆散粉刷蜜粉刷腮红刷修容刷化妆刷定妆刷便携单支粉饼刷 粉色,XIXI轻柔定妆散粉刷蜜粉刷腮红刷修容刷化妆刷定妆刷便携单支粉饼刷 粉色,5000071063,2000058432,6970100671926.0,,,3,3
